   9  31 F  1    56.289     0.597    53.550    -0.810   0.219           0.245   0.002
   9  32 F  0                        63.380    -0.920   0.218           0.229   0.002
   9  33 F  0                        72.020    -0.530   0.271           0.194   0.006
   9  34 F  0                        83.790     0.580   0.271           0.101   0.005
   9  35 F  0                        93.120     0.950   0.253           0.024   0.001
   9  36 F  0                       104.000     0.560   0.216           0.046   0.001
   9  37 F  0                       110.240    -2.780  -0.245           0.173  -0.012
   9  38 F  0                       124.510    -0.340   0.126           0.107   0.000
  10  16 Ne 2    23.996     0.020                                                    
  10  17 Ne 2    16.461     0.027                                                    
  10  18 Ne 2     5.317     0.000     3.210     2.610   0.109           0.150   0.000
  10  19 Ne 2     1.751     0.000     0.470     4.890   0.294           0.330   0.011
  10  20 Ne 2    -7.042     0.000    -7.720     4.480   0.335           0.428   0.023
  10  21 Ne 2    -5.732     0.000    -5.870     5.170   0.327           0.274   0.012
  10  22 Ne 2    -8.025     0.000    -8.690     4.300   0.326           0.225   0.011
  10  23 Ne 2    -5.154     0.000    -5.010     4.680   0.307           0.141   0.009
  10  24 Ne 2    -5.952     0.000    -5.980     3.510  -0.215           0.155  -0.010
  10  25 Ne 2    -2.108     0.026    -0.980     3.460   0.000  -0.016   0.000   0.000
  10  26 Ne 2     0.430     0.027     1.020     3.510   0.000          -0.014   0.000
  10  27 Ne 2     7.070     0.110     7.250     3.250   0.000          -0.014   0.000
  10  28 Ne 2    11.245     0.147    10.020     2.600  -0.204          -0.127   0.002
  10  29 Ne 2    18.058     0.269    17.830     2.710   0.000          -0.014   0.000
  10  30 Ne 2    23.102     0.571    22.440     2.660   0.000          -0.014   0.000
  10  31 Ne 1    30.842     0.904    29.130     0.620   0.326           0.241   0.011
  10  32 Ne 1    37.278     0.801    33.320    -0.920   0.238           0.281   0.004
  10  33 Ne 1    45.997     0.801    42.960    -0.880   0.272           0.241   0.007
  10  34 Ne 1    53.121     0.807    49.560    -0.920   0.308           0.220   0.009
  10  35 Ne 0                        60.850     0.000   0.307           0.141   0.009
  10  36 Ne 0                        68.780     0.490   0.309           0.065   0.003
  10  37 Ne 0                        79.590     0.270   0.369           0.006  -0.003
  10  38 Ne 0                        84.850    -2.620  -0.292           0.196  -0.014
  10  39 Ne 0                        98.860    -0.230   0.216           0.121   0.001
  10  40 Ne 0                       107.820    -0.040   0.234           0.105   0.004
  10  41 Ne 0                       118.930    -1.070   0.439           0.226   0.022
  11  18 Na 2    24.190     0.050                                                    
  11  19 Na 2    12.927     0.012    11.470     2.580   0.198           0.163   0.001
  11  20 Na 2     6.848     0.007     6.160     4.910   0.307           0.203   0.008
  11  21 Na 2    -2.184     0.001    -2.820     4.470   0.327           0.274   0.012
  11  22 Na 2    -5.182     0.000    -4.930     5.140   0.364           0.141   0.010
  11  23 Na 2    -9.530     0.000    -9.820     4.270   0.366           0.066   0.003
  11  24 Na 2    -8.418     0.000    -7.430     5.620   0.328           0.056   0.002
  11  25 Na 2    -9.358     0.001    -8.970     4.510   0.291           0.047   0.002
  11  26 Na 2    -6.862     0.006    -5.890     4.660   0.294          -0.012  -0.002
  11  27 Na 2    -5.517     0.004    -5.180     3.960   0.317          -0.080  -0.010
  11  28 Na 2    -0.989     0.013    -0.730     3.880   0.257          -0.048  -0.004
  11  29 Na 2     2.665     0.013     2.480     4.160  -0.222          -0.112   0.003
  11  30 Na 2     8.361     0.025     8.210     4.030   0.000           0.000   0.000
  11  31 Na 2    12.655     0.211    12.250     3.840   0.000           0.000   0.000
  11  32 Na 2    19.064     0.356    18.440     3.030   0.383           0.147   0.011
  11  33 Na 2    24.889     0.875    23.140     2.370   0.403           0.123   0.008
  11  34 Na 1    32.761     0.898    30.000     1.250   0.289           0.168   0.007
  11  35 Na 1    39.582     0.946    36.190     1.130   0.326           0.147   0.009
  11  36 Na 1    47.953     0.952    45.380     1.490   0.328           0.070   0.004
  11  37 Na 1    55.275     0.958    52.410     1.350   0.331           0.011  -0.002
  11  38 Na 0                        61.440     0.800   0.371          -0.023  -0.006
  11  39 Na 0                        68.780     0.240   0.434          -0.050  -0.013
  11  40 Na 0                        80.140     1.360   0.216           0.058   0.002
  11  41 Na 0                        88.510     1.170   0.253           0.049   0.003
  11  42 Na 0                        99.150     0.980   0.440           0.171   0.018
  11  43 Na 0                       107.710     0.390   0.411           0.188   0.016
  11  44 Na 0                       118.770     0.090   0.439           0.198   0.021
  12  19 MG 2    33.040     0.252                                                    
  12  20 MG 2    17.570     0.027    16.070     1.850   0.147          -0.091  -0.003
  12  21 MG 2    10.911     0.016     9.860     4.000   0.308           0.080   0.005
  12  22 MG 2    -0.397     0.001    -1.500     3.680   0.326           0.225   0.011
  12  23 MG 2    -5.474     0.001    -5.840     4.180   0.367           0.050   0.000
  12  24 MG 2   -13.934     0.000   -14.080     3.540   0.374          -0.053  -0.010
  12  25 MG 2   -13.193     0.000   -12.520     4.700   0.333          -0.033  -0.005
  12  26 MG 2   -16.215     0.000   -16.390     3.450  -0.310           0.186  -0.013
  12  27 MG 2   -14.587     0.000   -12.540     4.940   0.000  -0.016   0.000   0.000
  12  28 MG 2   -15.019     0.002   -14.500     3.610   0.323          -0.136  -0.020
  12  29 MG 2   -10.619     0.014    -9.340     4.770   0.000  -0.015   0.000   0.000
  12  30 MG 2    -8.911     0.008    -9.140     3.930  -0.222          -0.112   0.003
  12  31 MG 2    -3.217     0.012    -3.550     4.130   0.000           0.000   0.000
  12  32 MG 2    -0.955     0.018    -1.420     3.810   0.000           0.000   0.000
  12  33 MG 2     4.894     0.020     5.360     4.000   0.000          -0.014   0.000
  12  34 MG 2     8.809     0.231     7.890     2.870   0.406           0.062   0.002
  12  35 MG 1    16.152     0.401    14.920     2.280   0.347           0.090   0.005
  12  36 MG 1    21.424     0.503    19.160     1.780   0.328           0.085   0.005
  12  37 MG 1    29.249     0.904    27.560     1.670   0.330           0.025   0.000
  12  38 MG 1    34.996     0.503    32.740     1.200   0.314          -0.037  -0.004
  12  39 MG 1    43.568     0.513    41.120     0.280   0.377          -0.081  -0.014
  12  40 MG 1    50.235     0.904    45.420    -1.900  -0.290           0.211  -0.016
  12  41 MG 0                        58.180     0.870   0.335          -0.051  -0.009
  12  42 MG 0                        65.520     1.000   0.265          -0.015  -0.003
  12  43 MG 0                        76.280     1.140   0.296          -0.043  -0.006
  12  44 MG 0                        78.060    -4.930   0.175          -0.317  -0.032
  12  45 MG 0                        95.370     1.210   0.421           0.137   0.012
  12  46 MG 0                       101.100    -1.500   0.311          -0.195  -0.027
  12  47 MG 0                       115.530     1.260   0.463           0.107   0.009
  13  21 Al 1    26.119     0.298    26.480     1.480   0.165          -0.075  -0.003
  13  22 Al 1    18.183     0.093    18.040     3.800   0.271           0.072   0.003
  13  23 Al 2     6.770     0.019     6.450     3.920   0.308           0.080   0.005
  13  24 Al 2    -0.057     0.003     0.400     4.990   0.329           0.040   0.000
  13  25 Al 2    -8.916     0.000    -8.450     4.390   0.334          -0.047  -0.006
  13  26 Al 2   -12.210     0.000   -10.770     5.080   0.313          -0.023  -0.004
  13  27 Al 2   -17.197     0.000   -16.900     3.310  -0.448           0.239  -0.018
  13  28 Al 2   -16.850     0.000   -15.480     4.390  -0.254           0.077  -0.004
  13  29 Al 2   -18.215     0.001   -16.440     4.610   0.000  -0.025   0.000   0.000
  13  30 Al 2   -15.872     0.014   -14.480     4.460  -0.207          -0.063   0.002
  13  31 Al 2   -14.954     0.020   -14.400     3.990  -0.239          -0.096   0.003
  13  32 Al 2   -11.062     0.086   -10.760     4.030   0.000           0.000   0.000
  13  33 Al 2    -8.529     0.073    -9.070     3.700   0.000           0.000   0.000
  13  34 Al 2    -2.932     0.113    -4.210     3.660   0.000           0.042  -0.002
  13  35 Al 2    -0.130     0.175    -1.540     3.060   0.216           0.121   0.001
  13  36 Al 2     5.782     0.215     4.390     2.960   0.234           0.125   0.002
  13  37 Al 2     9.946     0.331     8.290     2.490   0.271           0.101   0.005
  13  38 Al 2    16.051     0.731    15.180     2.370   0.273           0.027   0.001
  13  39 Al 2    21.396     1.472    20.060     1.900   0.256          -0.034  -0.003
  13  40 Al 1    29.295     0.699    28.150     2.130   0.189          -0.003   0.000
  13  41 Al 1    35.704     0.801    30.430    -1.790  -0.319           0.231  -0.018
  13  42 Al 1    43.678     0.904    41.110     0.260  -0.260           0.102  -0.003
  13  43 Al 0                        49.470     1.660   0.217           0.009   0.001
  13  44 Al 0                        58.380     1.260   0.227          -0.022  -0.003
  13  45 Al 0                        61.220    -3.540   0.082          -0.318  -0.021
  13  46 Al 0                        76.240     1.550  -0.308          -0.011   0.000
  13  47 Al 0                        84.700     1.760  -0.405          -0.084   0.011
  13  48 Al 0                        95.830     2.410  -0.406          -0.028   0.004
  13  49 Al 0                       105.020     2.800  -0.423           0.013   0.003
  13  50 Al 0                       115.130     1.930   0.482          -0.010  -0.008
  13  51 Al 0                       123.860     1.350   0.487          -0.060  -0.017
  14  22 Si 1    32.164     0.200    33.170     0.340   0.000  -0.016   0.000   0.000
  14  23 Si 1    23.772     0.196    23.600     2.160  -0.215           0.155  -0.010
  14  24 Si 2    10.755     0.019     9.820     2.380  -0.242           0.202  -0.015
  14  25 Si 2     3.824     0.010     3.200     3.510  -0.292           0.196  -0.014
  14  26 Si 2    -7.145     0.003    -8.350     2.390  -0.353           0.226  -0.017
  14  27 Si 2   -12.384     0.000   -12.730     2.780  -0.448           0.239  -0.018
  14  28 Si 2   -21.493     0.000   -21.100     1.910  -0.478           0.250  -0.020
  14  29 Si 2   -21.895     0.000   -20.380     2.840  -0.300           0.128  -0.008
  14  30 Si 2   -24.433     0.000   -22.480     3.870   0.000           0.000   0.000
  14  31 Si 2   -22.949     0.000   -20.510     4.240   0.000           0.000   0.000
  14  32 Si 2   -24.081     0.000   -22.300     3.740   0.000           0.000   0.000
